DATE,CPIAUCSL_PCH
1984-06-01,0.19324
1984-07-01,0.38573
1984-08-01,0.28818
1984-09-01,0.28736
1984-10-01,0.38204
1984-11-01,0.19029
1984-12-01,0.18993
1985-01-01,0.18957
1985-02-01,0.56764
1985-03-01,0.47037
1985-04-01,0.18727
1985-05-01,0.18692
1985-06-01,0.27985
1985-07-01,0.18605
1985-08-01,0.18570
1985-09-01,0.18536
1985-10-01,0.37003
1985-11-01,0.46083
1985-12-01,0.45872
1986-01-01,0.36530
1986-02-01,-0.18198
1986-03-01,-0.54695
1986-04-01,-0.36664
1986-05-01,0.27599
1986-06-01,0.36697
1986-07-01,0.09141
1986-08-01,0.09132
1986-09-01,0.36496
1986-10-01,0.18182
1986-11-01,0.18149
1986-12-01,0.36232
1987-01-01,0.54152
1987-02-01,0.35907
1987-03-01,0.35778
1987-04-01,0.44563
1987-05-01,0.26619
1987-06-01,0.44248
1987-07-01,0.26432
1987-08-01,0.43937
1987-09-01,0.34996
1987-10-01,0.26155
1987-11-01,0.34783
1987-12-01,0.17331
1988-01-01,0.34602
1988-02-01,0.17241
1988-03-01,0.25818
1988-04-01,0.60086
1988-05-01,0.25597
1988-06-01,0.42553
1988-07-01,0.42373
1988-08-01,0.42194
1988-09-01,0.42017
1988-10-01,0.33473
1988-11-01,0.33361
1988-12-01,0.33250
1989-01-01,0.41425
1989-02-01,0.33003
1989-03-01,0.49342
1989-04-01,0.73650
1989-05-01,0.48741
1989-06-01,0.32336
1989-07-01,0.32232
1989-08-01,0.00000
1989-09-01,0.24096
1989-10-01,0.48077
1989-11-01,0.39872
1989-12-01,0.31771
1990-01-01,0.95012
1990-02-01,0.39216
1990-03-01,0.46875
1990-04-01,0.23328
1990-05-01,0.15516
1990-06-01,0.61967
1990-07-01,0.46189
1990-08-01,0.84291
1990-09-01,0.68389
1990-10-01,0.67925
1990-11-01,0.22489
1990-12-01,0.37397
1991-01-01,0.37258
1991-02-01,0.07424
1991-03-01,0.00000
1991-04-01,0.22255
1991-05-01,0.37010
1991-06-01,0.29499
1991-07-01,0.14706
1991-08-01,0.29369
1991-09-01,0.29283
1991-10-01,0.14599
1991-11-01,0.43732
1991-12-01,0.29028
1992-01-01,0.07236
1992-02-01,0.21692
1992-03-01,0.36075
1992-04-01,0.21567
1992-05-01,0.21521
1992-06-01,0.28633
1992-07-01,0.28551
1992-08-01,0.21352
1992-09-01,0.21307
1992-10-01,0.42523
1992-11-01,0.28229
1992-12-01,0.14075
1993-01-01,0.35137
1993-02-01,0.21008
1993-03-01,0.13976
1993-04-01,0.34892
1993-05-01,0.27816
1993-06-01,0.06935
1993-07-01,0.13860
1993-08-01,0.20761
1993-09-01,0.13812
1993-10-01,0.41379
1993-11-01,0.27473
1993-12-01,0.20548
1994-01-01,0.00000
1994-02-01,0.27341
1994-03-01,0.27267
1994-04-01,0.06798
1994-05-01,0.20380
1994-06-01,0.27119
1994-07-01,0.33807
1994-08-01,0.40431
1994-09-01,0.20134
1994-10-01,0.06698
1994-11-01,0.26774
1994-12-01,0.20027
1995-01-01,0.26649
1995-02-01,0.26578
1995-03-01,0.19881
1995-04-01,0.39683
1995-05-01,0.19763
1995-06-01,0.19724
1995-07-01,0.13123
1995-08-01,0.19659
1995-09-01,0.13080
1995-10-01,0.26127
1995-11-01,0.13029
1995-12-01,0.13012
1996-01-01,0.51982
1996-02-01,0.19392
1996-03-01,0.32258
1996-04-01,0.38585
1996-05-01,0.19218
1996-06-01,0.19182
1996-07-01,0.19145
1996-08-01,0.12739
1996-09-01,0.31807
1996-10-01,0.31706
1996-11-01,0.31606
1996-12-01,0.25205
1997-01-01,0.18856
1997-02-01,0.18821
1997-03-01,0.06262
1997-04-01,0.06258
1997-05-01,0.00000
1997-06-01,0.18762
1997-07-01,0.12484
1997-08-01,0.24938
1997-09-01,0.24876
1997-10-01,0.18610
1997-11-01,0.12384
1997-12-01,0.06184
1998-01-01,0.12361
1998-02-01,0.00000
1998-03-01,0.00000
1998-04-01,0.12346
1998-05-01,0.24661
1998-06-01,0.12300
1998-07-01,0.24570
1998-08-01,0.12255
1998-09-01,0.06120
1998-10-01,0.24465
1998-11-01,0.12203
1998-12-01,0.18282
1999-01-01,0.18248
1999-02-01,0.00000
1999-03-01,0.06072
1999-04-01,0.66748
1999-05-01,0.06028
1999-06-01,0.00000
1999-07-01,0.42169
1999-08-01,0.23995
1999-09-01,0.41891
1999-10-01,0.17878
1999-11-01,0.17847
1999-12-01,0.23753
2000-01-01,0.29621
2000-02-01,0.41347
2000-03-01,0.58824
2000-04-01,-0.05848
2000-05-01,0.17554
2000-06-01,0.58411
2000-07-01,0.29036
2000-08-01,0.00000
2000-09-01,0.52113
2000-10-01,0.17281
2000-11-01,0.17251
2000-12-01,0.22962
2001-01-01,0.57274
2001-02-01,0.22779
2001-03-01,0.05682
2001-04-01,0.17036
2001-05-01,0.51020
2001-06-01,0.22561
2001-07-01,-0.16882
2001-08-01,0.00000
2001-09-01,0.39459
2001-10-01,-0.28074
2001-11-01,-0.05631
2001-12-01,-0.05634
2002-01-01,0.16911
2002-02-01,0.16882
2002-03-01,0.28090
2002-04-01,0.44818
2002-05-01,0.11154
2002-06-01,0.05571
2002-07-01,0.22272
2002-08-01,0.27778
2002-09-01,0.16620
2002-10-01,0.22124
2002-11-01,0.16556
2002-12-01,0.16529
2003-01-01,0.44004
2003-02-01,0.54765
2003-03-01,0.16340
2003-04-01,-0.38064
2003-05-01,-0.16376
2003-06-01,0.10935
2003-07-01,0.32769
2003-08-01,0.43549
2003-09-01,0.32520
2003-10-01,-0.10805
2003-11-01,0.05408
2003-12-01,0.27027
2004-01-01,0.43127
2004-02-01,0.21471
2004-03-01,0.21425
2004-04-01,0.16034
2004-05-01,0.42689
2004-06-01,0.37194
2004-07-01,0.10588
2004-08-01,0.05288
2004-09-01,0.31712
2004-10-01,0.52687
2004-11-01,0.47170
2004-12-01,0.00000
2005-01-01,-0.05216
2005-02-01,0.41754
2005-03-01,0.36383
2005-04-01,0.31072
2005-05-01,-0.05163
2005-06-01,0.05165
2005-07-01,0.61951
2005-08-01,0.61570
2005-09-01,1.37685
2005-10-01,0.15091
2005-11-01,-0.50226
2005-12-01,0.00000
2006-01-01,0.60575
2006-02-01,0.05018
2006-03-01,0.15045
2006-04-01,0.50075
2006-05-01,0.29895
2006-06-01,0.24839
2006-07-01,0.54509
2006-08-01,0.44357
2006-09-01,-0.49068
2006-10-01,-0.44379
2006-11-01,0.04953
2006-12-01,0.54455
2007-01-01,0.16593
2007-02-01,0.38784
2007-03-01,0.52001
2007-04-01,0.30007
2007-05-01,0.41330
2007-06-01,0.23168
2007-07-01,0.17806
2007-08-01,0.03083
2007-09-01,0.42376
2007-10-01,0.30832
2007-11-01,0.78589
2007-12-01,0.28980
2008-01-01,0.34477
2008-02-01,0.24178
2008-03-01,0.35780
2008-04-01,0.23144
2008-05-01,0.59175
2008-06-01,1.04782
2008-07-01,0.71414
2008-08-01,-0.14885
2008-09-01,0.08551
2008-10-01,-0.85984
2008-11-01,-1.77055
2008-12-01,-0.82335
2009-01-01,0.25308
2009-02-01,0.36427
2009-03-01,-0.09873
2009-04-01,0.10071
2009-05-01,0.14715
2009-06-01,0.82996
2009-07-01,-0.02980
2009-08-01,0.33485
2009-09-01,0.19309
2009-10-01,0.30019
2009-11-01,0.33486
2009-12-01,0.05202
2010-01-01,0.06487
2010-02-01,-0.09518
2010-03-01,0.03314
2010-04-01,0.02300
2010-05-01,-0.05198
2010-06-01,-0.04188
2010-07-01,0.18693
2010-08-01,0.14614
2010-09-01,0.16152
2010-10-01,0.34818
2010-11-01,0.25338
2010-12-01,0.40166
2011-01-01,0.32430
2011-02-01,0.32145
2011-03-01,0.51735
2011-04-01,0.46941
2011-05-01,0.31817
2011-06-01,0.00000
2011-07-01,0.26200
2011-08-01,0.31545
2011-09-01,0.21715
2011-10-01,0.06752
2011-11-01,0.18479
2011-12-01,0.02377
2012-01-01,0.27242
2012-02-01,0.21374
2012-03-01,0.20935
2012-04-01,0.16608
2012-05-01,-0.20682
2012-06-01,-0.08264
2012-07-01,0.02888
2012-08-01,0.58095
2012-09-01,0.47713
2012-10-01,0.26968
2012-11-01,-0.16793
2012-12-01,-0.01211
2013-01-01,0.19808
2013-02-01,0.54299
2013-03-01,-0.28119
2013-04-01,-0.20880
2013-05-01,0.04142
2013-06-01,0.23804
2013-07-01,0.19575
2013-08-01,0.23873
2013-09-01,0.03769
2013-10-01,0.05352
2013-11-01,0.18445
2013-12-01,0.26442
2014-01-01,0.24242
2014-02-01,0.11008
2014-03-01,0.20421
2014-04-01,0.18642
2014-05-01,0.19030
2014-06-01,0.13211
2014-07-01,0.11255
2014-08-01,-0.01600
2014-09-01,0.00716
2014-10-01,-0.01979
2014-11-01,-0.18827
2014-12-01,-0.30846
2015-01-01,-0.63703
2015-02-01,0.25346
2015-03-01,0.26940
2015-04-01,0.10425
2015-05-01,0.32977
2015-06-01,0.27679
2015-07-01,0.15863
2015-08-01,-0.00042
2015-09-01,-0.22476
2015-10-01,0.09895
2015-11-01,0.11946
2015-12-01,-0.10756
2016-01-01,-0.04584
2016-02-01,-0.13297
2016-03-01,0.31348
2016-04-01,0.38306
2016-05-01,0.23641
2016-06-01,0.27760
2016-07-01,-0.05037
2016-08-01,0.18492
2016-09-01,0.26232
2016-10-01,0.23427
2016-11-01,0.11789
2016-12-01,0.25245
2017-01-01,0.40431
2017-02-01,0.15927
2017-03-01,-0.04672
2017-04-01,0.12342
2017-05-01,-0.07740
2017-06-01,0.06516
2017-07-01,0.03276
2017-08-01,0.38486
2017-09-01,0.51064
2017-10-01,0.07751
2017-11-01,0.26680
2017-12-01,0.21069
2018-01-01,0.37852
2018-02-01,0.27981
2018-03-01,0.05693
2018-04-01,0.22638
2018-05-01,0.25305
2018-06-01,0.13518
2018-07-01,0.08163
2018-08-01,0.16950
2018-09-01,0.19464
2018-10-01,0.24699
2018-11-01,-0.08107
2018-12-01,-0.04195
2019-01-01,-0.03207
2019-02-01,0.26340
2019-03-01,0.44956
2019-04-01,0.35002
2019-05-01,0.06349
2019-06-01,0.01410
2019-07-01,0.21107
2019-08-01,0.10903
2019-09-01,0.16278
2019-10-01,0.27631
2019-11-01,0.18771
2019-12-01,0.18426
2020-01-01,0.16224
2020-02-01,0.12564
2020-03-01,-0.32509
2020-04-01,-0.80220
2020-05-01,-0.05857
2020-06-01,0.49737
2020-07-01,0.51552
2020-08-01,0.40109
2020-09-01,0.23499
2020-10-01,0.06226
2020-11-01,0.14173
2020-12-01,0.32333
2021-01-01,0.24315
2021-02-01,0.43707
2021-03-01,0.63870
2021-04-01,0.64106
2021-05-01,0.70184
2021-06-01,0.87714
2021-07-01,0.45358
2021-08-01,0.33360
2021-09-01,0.41085
2021-10-01,0.86648
2021-11-01,0.69923
2021-12-01,0.57517
2022-01-01,0.64507
2022-02-01,0.79771
2022-03-01,1.24075
