"
Date",TSLA,GOOG,MSFT,AMZN,AAPL,SP500
2020/7/27 下午 4:00:00,307.92,1530.2,203.85,3055.21,94.81,323.22
2020/7/28 下午 4:00:00,295.3,1500.34,202.02,3000.33,93.25,321.17
2020/7/29 下午 4:00:00,299.82,1522.02,204.06,3033.53,95.04,325.12
2020/7/30 下午 4:00:00,297.5,1531.45,203.9,3051.88,96.19,323.96
2020/7/31 下午 4:00:00,286.15,1482.96,205.01,3164.68,106.26,326.52
2020/8/3 下午 4:00:00,297,1474.45,216.54,3111.89,108.94,328.79
2020/8/4 下午 4:00:00,297.4,1464.97,213.29,3138.83,109.67,330.06
2020/8/5 下午 4:00:00,297,1473.61,212.94,3205.03,110.06,332.11
2020/8/6 下午 4:00:00,297.92,1500.1,216.35,3225,113.9,334.33
2020/8/7 下午 4:00:00,290.54,1494.49,212.48,3167.46,111.11,334.57
2020/8/10 下午 4:00:00,283.71,1496.1,208.25,3148.16,112.73,335.57
2020/8/11 下午 4:00:00,274.88,1480.32,203.38,3080.67,109.38,332.8
2020/8/12 下午 4:00:00,310.95,1506.62,209.19,3162.24,113.01,337.44
2020/8/13 下午 4:00:00,324.2,1518.45,208.7,3161.02,115.01,336.83
2020/8/14 下午 4:00:00,330.14,1507.73,208.9,3148.02,114.91,336.84
2020/8/17 下午 4:00:00,367.13,1517.98,210.28,3182.41,114.61,337.91
2020/8/18 下午 4:00:00,377.42,1558.6,211.49,3312.49,115.56,338.64
2020/8/19 下午 4:00:00,375.71,1547.53,209.7,3260.48,115.71,337.23
2020/8/20 下午 4:00:00,400.37,1581.75,214.58,3297.37,118.28,338.28
2020/8/21 下午 4:00:00,410,1580.42,213.02,3284.72,124.37,339.48
2020/8/24 下午 4:00:00,402.84,1588.2,213.69,3307.46,125.86,342.92
2020/8/25 下午 4:00:00,404.67,1608.22,216.47,3346.49,124.83,344.12
2020/8/26 下午 4:00:00,430.63,1652.38,221.15,3441.85,126.52,347.57
2020/8/27 下午 4:00:00,447.75,1634.33,226.58,3400,125.01,348.33
2020/8/28 下午 4:00:00,442.68,1644.41,228.91,3401.8,124.81,350.58
